dbo:Person;;;<A> has how many relatives?;SELECT DISTINCT COUNT(?uri) where { <A> <http://dbpedia.org/property/relatives> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/relatives> ?uri };0823c2c40ec44ed38548274caa96984d
dbo:Person;;;<A> has won how many awards?;SELECT DISTINCT COUNT(?uri) where { <A> <http://dbpedia.org/ontology/award> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/award> ?uri };29513d9bf3fb453da72170be9f27bc0d
dbo:Person;;;<A> is from which city?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/hometown> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/hometown> ?uri };1f283dc1bb87433d804608abb6d42fb9;
dbo:Person;;;Count the affiliations of <A>?;SELECT DISTINCT COUNT(?uri) where { <A> <http://dbpedia.org/property/affiliation> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/affiliation> ?uri };e18fd4075a914d4a8455c72375bdd4b9
dbo:Person;;;Count the different causes of death of <A>.;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/ontology/religion> <A> . ?x <http://dbpedia.org/ontology/deathCause> ?uri };select distinct ?a where { ?x <http://dbpedia.org/ontology/religion> ?a . ?x <http://dbpedia.org/ontology/deathCause> ?uri };7fc3026611784ca68abe446d974bf7fb
dbo:Person;;;Did <A> did his highschool in <B>?;ASK where { <A> <http://dbpedia.org/property/highSchool> <B> };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/highSchool> ?b };cbfdaaad592b4ef7b08d5ad4d0d0ac09
dbo:Person;;;Did <A> study at the <B> university?;ASK where { <A> <http://dbpedia.org/property/university> <B> };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/university> ?b };e3a008c553da49fd876ece5a7c775750
dbo:Person;;;Did <A> study at the <B>?;ASK where { <A> <http://dbpedia.org/ontology/institution> <B> };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/institution> ?b };d15fc086b4a342d0a45205ffd6963f8c
dbo:Person;;;Did <A> study at the <B>?;ASK where { <A> <http://dbpedia.org/ontology/university> <B> };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/university> ?b };3ae2345e8e8844b1bcdc731a3b106eb9
dbo:Person;;;Did <A> study in <B>?;ASK where { <A> <http://dbpedia.org/property/highSchool> <B> };select distinct ?a, ?b where { ?a <http://dbpedia.org/property/highSchool> ?b };9c1ea109b00f4f5aba49d87f8fac3deb
dbo:Person;;;Did <A> study in the <B>?;ASK where { <A> <http://dbpedia.org/ontology/institution> <B> };select distinct ?a, ?b where { ?a <http://dbpedia.org/ontology/institution> ?b };bd015efa79cc4cf6ace73ea181c96abd
;dbo:Person;;Did <B> do his highschool in <A>?;ASK where { <B> <http://dbpedia.org/property/highSchool> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/highSchool> ?a };0572e71a8200411493afdbc1072f5dc1
;dbo:Person;;Did <B> go to <A> studying?;ASK where { <B> <http://dbpedia.org/ontology/university> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/university> ?a };988903c3f615471fbd0fe2adeafdd518
;dbo:Person;;Did <B> study at the <A>;ASK where { <B> <http://dbpedia.org/ontology/institution> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/institution> ?a };b95b28576f18419c894ce4f86851e7c4
;dbo:Person;;Does <B> have a license of <A>?;ASK where { <B> <http://dbpedia.org/property/license> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/license> ?a };d5927c0324be4e2d8fa01205bb38a09e
;dbo:Person;;Does <B> have the <A>?;ASK where { <B> <http://dbpedia.org/property/license> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/license> ?a };97e02dcf44aa43c1b7cc7a7c155b118f
;dbo:Person;;Does <B> study <A>?;ASK where { <B> <http://dbpedia.org/ontology/field> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/ontology/field> ?a };115415a95f22482aa6e5441ccf0b6f31
;dbo:Person;;Does <B> study <A>?;ASK where { <B> <http://dbpedia.org/property/mainInterests> <A> };select distinct ?a, ?b where { ?b <http://dbpedia.org/property/mainInterests> ?a };18e1b907a21644199bcf31fb9629f79c
dbo:Person;;;For how many things are <A> famous for?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/property/placeOfBirth> <A> . ?x <http://dbpedia.org/ontology/knownFor> ?uri };select distinct ?a where { ?x <http://dbpedia.org/property/placeOfBirth> ?a . ?x <http://dbpedia.org/ontology/knownFor> ?uri };a473965ed74b45298f4f8082bca57f56
dbo:Person;;;For what is <A> known ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/property/knownFor> ?uri };select distinct ?a where { ?a <http://dbpedia.org/property/knownFor> ?uri };841f3a4e3ade44b1b407f7b1382dc92a
dbo:Person;;;From where did the son of <A> graduate?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/child> ?x . ?x <http://dbpedia.org/property/almaMater> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/child> ?x . ?x <http://dbpedia.org/property/almaMater> ?uri };ee83374553104e4784b6847dc658c510
dbo:Person;;;How did <A> died ?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/deathCause> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/deathCause> ?uri };d47969ab783e4582a2e2fb7e0f0f5e8e
dbo:Person;;;How did the child of <A> die?;SELECT DISTINCT ?uri where { <A> <http://dbpedia.org/ontology/child> ?x . ?x <http://dbpedia.org/ontology/deathCause> ?uri };select distinct ?a where { ?a <http://dbpedia.org/ontology/child> ?x . ?x <http://dbpedia.org/ontology/deathCause> ?uri };f18825b526744c29b18f7b0a6dc10b80
dbo:Person;;;How many people are there whose children died in <A>?;SELECT DISTINCT COUNT(?uri) where { ?x <http://dbpedia.org/ontology/deathPlace> <A> . ?uri <http://dbpedia.org/ontology/child> ?x . ?uri a <http://dbpedia.org/ontology/Person> };select distinct ?a where { ?x <http://dbpedia.org/ontology/deathPlace> ?a . ?uri <http://dbpedia.org/ontology/child> ?x . ?uri a <http://dbpedia.org/ontology/Person> };bcf6d38828d24556aa001e0484100b31
dbo:Person;;;In how many places did <A> study?;SELECT DISTINCT COUNT(?uri) where { <A> <http://dbpedia.org/property/almaMater> ?uri . ?uri a <http://dbpedia.org/ontology/University> };select distinct ?a where { ?a <http://dbpedia.org/property/almaMater> ?uri . ?uri a <http://dbpedia.org/ontology/University> };229e4197d78f417ca569f31cb727d19d
