;;;<A>  team is known as ?;SELECT DISTINCT ?uri where { <A> dbp_teamName ?uri };select distinct ?a where { ?a dbp_teamName ?uri };962450920a5d4789866bb953d15deaa4
http://dbpedia.org/ontology/Athlete;http://dbpedia.org/ontology/Athlete;;<A> and <B> debuted their career with which common team?;SELECT DISTINCT ?uri where { <B> dbp_debutteam ?uri . <A> dbp_debutteam ?uri };select distinct ?a, ?b where { ?b dbp_debutteam ?uri . ?a dbp_debutteam ?uri };b8602cf66ce54d7480a3cf07b2d2329f
;;;<A> born ice hockey players have stopped playing for which teams?;SELECT DISTINCT ?uri where { ?x dbo_birthPlace <A> . ?x dbo_formerTeam ?uri . ?x a dbo_IceHockeyPlayer };select distinct ?a where { ?x dbo_birthPlace ?a . ?x dbo_formerTeam ?uri . ?x a dbo_IceHockeyPlayer };0cc6db94bbc44a198411909a855a2d2a
;;;<A> colored horses have won which races?;SELECT DISTINCT ?uri where { ?x dbo_colour <A> . ?x dbo_honours ?uri . ?x a dbo_Horse };select distinct ?a where { ?x dbo_colour ?a . ?x dbo_honours ?uri . ?x a dbo_Horse };5b5d82f71a4c4d54989be43bbf8d4ce4
;;;<A> has how many american football teams?;SELECT DISTINCT COUNT(?uri) where { ?uri dbp_city <A> . ?uri a dbo_AmericanFootballTeam };select distinct ?a where { ?uri dbp_city ?a . ?uri a dbo_AmericanFootballTeam };1a867d312a124069949fc1d4e7e99000
http://dbpedia.org/ontology/Sport;;;<A> is played by which countries' citizens?;SELECT DISTINCT ?uri where { ?x dbo_occupation <A> . ?x dbo_stateOfOrigin ?uri };select distinct ?a where { ?x dbo_occupation ?a . ?x dbo_stateOfOrigin ?uri };1cb5a6736cd044c798948ca8e81ad7fb
http://dbpedia.org/class/yago/Trainer110722575;;;<A> is the coach of which basketball team ?;SELECT DISTINCT ?uri where { ?uri dbp_coach <A> . ?uri a dbo_BasketballTeam };select distinct ?a where { ?uri dbp_coach ?a . ?uri a dbo_BasketballTeam };d6eb5633d2524379863ad29551cf0089
http://dbpedia.org/ontology/Person;;;<A> is the president of which basketball team ?;SELECT DISTINCT ?uri where { ?uri dbp_president <A> . ?uri a dbo_BasketballTeam };select distinct ?a where { ?uri dbp_president ?a . ?uri a dbo_BasketballTeam };204a5a67d76344009f7ee3711bb79292
;;;<A> is the team of which basketball players?;SELECT DISTINCT ?uri where { ?uri dbp_team <A> . ?uri a dbo_BasketballPlayer };select distinct ?a where { ?uri dbp_team ?a . ?uri a dbo_BasketballPlayer };333d5b882d2a433abf4674b881d86b63
;;;<A> owns which american football team?;SELECT DISTINCT ?uri where { ?uri dbo_owner <A> . ?uri a dbo_AmericanFootballTeam };select distinct ?a where { ?uri dbo_owner ?a . ?uri a dbo_AmericanFootballTeam };a1e40cc27cbe4b48b7f3d40e75c71479
;;;<A> serves as president for which basketball team?;SELECT DISTINCT ?uri where { ?uri dbp_president <A> };select distinct ?a where { ?uri dbp_president ?a };2afab07b2dac4282909806c34e40c6f5
http://dbpedia.org/ontology/HorseTrainer;;;<A>' horses have raced in which races?;SELECT DISTINCT ?uri where { ?x dbo_trainer <A> . ?x dbp_race ?uri . ?x a dbo_Horse };select distinct ?a where { ?x dbo_trainer ?a . ?x dbp_race ?uri . ?x a dbo_Horse };2e6a230473e948a29d59e965ed724a74
;;;<A>'s ice hockey players have been a part of which teams?;SELECT DISTINCT ?uri where { ?x dbp_placeOfBirth <A> . ?x dbo_team ?uri . ?x a dbo_IceHockeyPlayer };select distinct ?a where { ?x dbp_placeOfBirth ?a . ?x dbo_team ?uri . ?x a dbo_IceHockeyPlayer };471a1edfae9f4e0b86d10cce7f064dd3
;;;<A>'s trained horses have won which awards?;SELECT DISTINCT ?uri where { ?x dbp_trainer <A> . ?x dbo_honours ?uri . ?x a dbo_Horse };select distinct ?a where { ?x dbp_trainer ?a . ?x dbo_honours ?uri . ?x a dbo_Horse };e00e1461078d4aacba00099390f97ced
